SiteID,ParamName,ParamDescription,variable,Unit,value
10322,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,48.1
10322,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,31.7
10322,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,1.9
10322,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,14
10322,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10322,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0.1
10322,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,2.4
10322,LFP length,Length of longest flow path,LFPLENGTH,miles,51.4
10322,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-106.762383
10322,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,8000
10322,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,7998
10322,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,19.09
10322,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,70.68
10322,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.37
10322,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,3.61
10322,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,15.9
10322,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,56.4
10322,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,22.5
10322,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,20.49
10322,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.1
10322,Time of concentration in hours,Time of concentration in hours,TOC,hours,14.08
10324,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,20
10324,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,
10324,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,162
10324,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10324,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,10539
10324,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,
10324,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,
10324,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,
10324,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,
10324,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,
10324,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.223896
10324,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,
10324,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,
10324,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,
10324,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,
10324,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,
10324,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,
10324,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,
10324,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,
10324,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,
10324,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,
10324,LFP length,Length of longest flow path,LFPLENGTH,miles,29.4
10324,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-106.743972
10324,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,
10324,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,9019
10324,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,
10324,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,
10324,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,
10324,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,
10324,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,
10324,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,
10324,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,
10324,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,
10324,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,
10324,Time of concentration in hours,Time of concentration in hours,TOC,hours,
10329,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,43
10329,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,390.4
10329,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,5.56
10329,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10329,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,11986
10329,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,13800
10329,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.77
10329,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.86
10329,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,2.52
10329,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,1.05
10329,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.023875
10329,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,15.6
10329,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0
10329,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0
10329,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,40.9
10329,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,38.2
10329,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,1.5
10329,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,0
10329,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10329,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0
10329,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,4.9
10329,LFP length,Length of longest flow path,LFPLENGTH,miles,5.87
10329,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-106.841863
10329,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,10400
10329,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,10427
10329,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,30.93
10329,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,70.75
10329,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.35
10329,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,11.6
10329,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,12.5
10329,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,19.1
10329,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,56.7
10329,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,18.4
10329,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.2
10329,Time of concentration in hours,Time of concentration in hours,TOC,hours,1.65
10767B,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,36
10767B,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,
10767B,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,19.6
10767B,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10767B,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,10143
10767B,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,
10767B,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,
10767B,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,
10767B,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,
10767B,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,
10767B,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,37.598675
10767B,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,
10767B,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,
10767B,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,
10767B,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,
10767B,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,
10767B,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,
10767B,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,
10767B,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,
10767B,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,
10767B,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,
10767B,LFP length,Length of longest flow path,LFPLENGTH,miles,9.25
10767B,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-108.112483
10767B,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,
10767B,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,8173
10767B,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,
10767B,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,
10767B,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,
10767B,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,
10767B,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,
10767B,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,
10767B,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,
10767B,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,
10767B,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,
10767B,Time of concentration in hours,Time of concentration in hours,TOC,hours,
10769,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,31
10769,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,209.4
10769,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,35.5
10769,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10769,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,10152
10769,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,13300
10769,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.76
10769,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.79
10769,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,2.51
10769,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,1.06
10769,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,37.746251
10769,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,4.5
10769,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0.1
10769,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0
10769,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,71.9
10769,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,14.6
10769,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,2.8
10769,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,0.2
10769,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10769,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0
10769,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,0.2
10769,LFP length,Length of longest flow path,LFPLENGTH,miles,13.5
10769,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-108.236435
10769,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,8240
10769,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,8244
10769,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,32.13
10769,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,56.03
10769,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.44
10769,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,30.3
10769,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,35.7
10769,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,30.5
10769,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,0.73
10769,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,22.27
10769,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0
10769,Time of concentration in hours,Time of concentration in hours,TOC,hours,5.52
10770A,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,31
10770A,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,150
10770A,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,131
10770A,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10770A,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,9960
10770A,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,14200
10770A,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.72
10770A,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.77
10770A,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,2.49
10770A,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,1.05
10770A,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,37.705351
10770A,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,5.1
10770A,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0.5
10770A,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0
10770A,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,73.4
10770A,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,13.4
10770A,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,1.6
10770A,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,0.7
10770A,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10770A,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0.7
10770A,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,0.3
10770A,LFP length,Length of longest flow path,LFPLENGTH,miles,24.5
10770A,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-108.246108
10770A,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,7940
10770A,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,7944
10770A,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,31.95
10770A,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,65.26
10770A,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.45
10770A,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,11.8
10770A,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,28.9
10770A,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,51
10770A,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,2.74
10770A,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,24.38
10770A,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.7
10770A,Time of concentration in hours,Time of concentration in hours,TOC,hours,7.03
10814,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,53
10814,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,386.7
10814,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,42.9
10814,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10814,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,11174
10814,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,13800
10814,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.86
10814,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.85
10814,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,2.29
10814,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,1.01
10814,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,37.948222
10814,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,27.3
10814,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0.1
10814,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,2.5
10814,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,40.8
10814,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,23.7
10814,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,3.4
10814,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,0.2
10814,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10814,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0.2
10814,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,2.2
10814,LFP length,Length of longest flow path,LFPLENGTH,miles,11.5
10814,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-107.876983
10814,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,8620
10814,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,8639
10814,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,36.67
10814,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,68.88
10814,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.37
10814,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,19.2
10814,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,24.3
10814,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,25.5
10814,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,26.8
10814,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,14.94
10814,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.5
10814,Time of concentration in hours,Time of concentration in hours,TOC,hours,2.68
10815,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,55
10815,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,405.7
10815,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,37.1
10815,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10815,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,11291
10815,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,13800
10815,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.91
10815,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.88
10815,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,2.31
10815,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,1.02
10815,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,37.948597
10815,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,30.5
10815,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0.2
10815,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,1.3
10815,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,36.6
10815,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,25.8
10815,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,2.2
10815,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,0.2
10815,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10815,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0.3
10815,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,2.4
10815,LFP length,Length of longest flow path,LFPLENGTH,miles,11
10815,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-107.869032
10815,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,8640
10815,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,8638
10815,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,37.52
10815,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,69.98
10815,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.36
10815,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,21.2
10815,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,18.4
