SiteID,ParamName,variable,ParamDescription,value,ParamGroup
10324,January Mean Flow,Q1,Mean January Flow,20.8,Monthly Flow Statistics
10324,July Mean Flow,Q7,Mean July Flow,112,Monthly Flow Statistics
10324,June Mean Flow,Q6,Mean June Flow,366,Monthly Flow Statistics
10324,March Mean Flow,Q3,Mean March Flow,24,Monthly Flow Statistics
10324,May Mean Flow,Q5,Mean May Flow,258,Monthly Flow Statistics
10324,November Mean Flow,Q11,Mean November Flow,26.1,Monthly Flow Statistics
10324,October Mean Flow,Q10,Mean October Flow,32.6,Monthly Flow Statistics
10324,September Mean Flow,Q9,Mean September Flow,37.5,Monthly Flow Statistics
10329,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,142,Peak-Flow Statistics
10329,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,219,Peak-Flow Statistics
10329,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,86.8,Peak-Flow Statistics
10329,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,234,Peak-Flow Statistics
10329,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,170,Peak-Flow Statistics
10329,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,121,Peak-Flow Statistics
10329,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,200,Peak-Flow Statistics
10329,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,273,Peak-Flow Statistics
10329,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,80.6,Flood-Volume Statistics
10329,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,52.6,Flood-Volume Statistics
10329,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,108,Flood-Volume Statistics
10329,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,0.714,Low-Flow Statistics
10329,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,1.05,Low-Flow Statistics
10329,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,0.402,Low-Flow Statistics
10329,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,21.5,Flow-Duration Statistics
10329,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,5.21,Flow-Duration Statistics
10329,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,1.82,Flow-Duration Statistics
10329,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,0.975,Flow-Duration Statistics
10329,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,0.536,Flow-Duration Statistics
10329,Mean Annual Flow,QA,Mean Annual Flow,7.84,Annual Flow Statistics
10329,April Mean Flow,Q4,Mean April Flow,2.21,Monthly Flow Statistics
10329,August Mean Flow,Q8,Mean August Flow,5.62,Monthly Flow Statistics
10329,December Mean Flow,Q12,Mean December Flow,1.29,Monthly Flow Statistics
10329,February Mean Flow,Q2,Mean February Flow,1.04,Monthly Flow Statistics
10329,January Mean Flow,Q1,Mean January Flow,1.12,Monthly Flow Statistics
10329,July Mean Flow,Q7,Mean July Flow,14.1,Monthly Flow Statistics
10329,June Mean Flow,Q6,Mean June Flow,38.6,Monthly Flow Statistics
10329,March Mean Flow,Q3,Mean March Flow,1.09,Monthly Flow Statistics
10329,May Mean Flow,Q5,Mean May Flow,17.6,Monthly Flow Statistics
10329,November Mean Flow,Q11,Mean November Flow,1.75,Monthly Flow Statistics
10329,October Mean Flow,Q10,Mean October Flow,2.42,Monthly Flow Statistics
10329,September Mean Flow,Q9,Mean September Flow,3.15,Monthly Flow Statistics
10767B,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,487,Peak-Flow Statistics
10767B,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,1030,Peak-Flow Statistics
10767B,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,198,Peak-Flow Statistics
10767B,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,1170,Peak-Flow Statistics
10767B,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,698,Peak-Flow Statistics
10767B,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,355,Peak-Flow Statistics
10767B,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,853,Peak-Flow Statistics
10767B,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,1510,Peak-Flow Statistics
10767B,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,182,Flood-Volume Statistics
10767B,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,91.2,Flood-Volume Statistics
10767B,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,252,Flood-Volume Statistics
10767B,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,1.34,Low-Flow Statistics
10767B,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,1.59,Low-Flow Statistics
10767B,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,2.25,Low-Flow Statistics
10767B,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,48.6,Flow-Duration Statistics
10767B,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,17.1,Flow-Duration Statistics
10767B,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,6.3,Flow-Duration Statistics
10767B,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,3.11,Flow-Duration Statistics
10767B,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,2.01,Flow-Duration Statistics
10767B,Mean Annual Flow,QA,Mean Annual Flow,23.6,Annual Flow Statistics
10767B,April Mean Flow,Q4,Mean April Flow,17.1,Monthly Flow Statistics
10767B,August Mean Flow,Q8,Mean August Flow,13.7,Monthly Flow Statistics
10767B,December Mean Flow,Q12,Mean December Flow,5.14,Monthly Flow Statistics
10767B,February Mean Flow,Q2,Mean February Flow,4.34,Monthly Flow Statistics
10767B,January Mean Flow,Q1,Mean January Flow,4.2,Monthly Flow Statistics
10767B,July Mean Flow,Q7,Mean July Flow,29.7,Monthly Flow Statistics
10767B,June Mean Flow,Q6,Mean June Flow,65.6,Monthly Flow Statistics
10767B,March Mean Flow,Q3,Mean March Flow,5.64,Monthly Flow Statistics
10767B,May Mean Flow,Q5,Mean May Flow,51.1,Monthly Flow Statistics
10767B,November Mean Flow,Q11,Mean November Flow,7.02,Monthly Flow Statistics
10767B,October Mean Flow,Q10,Mean October Flow,8.34,Monthly Flow Statistics
10767B,September Mean Flow,Q9,Mean September Flow,8.21,Monthly Flow Statistics
10769,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,699,Peak-Flow Statistics
10769,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,1460,Peak-Flow Statistics
10769,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,289,Peak-Flow Statistics
10769,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,1650,Peak-Flow Statistics
10769,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,997,Peak-Flow Statistics
10769,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,513,Peak-Flow Statistics
10769,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,1210,Peak-Flow Statistics
10769,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,2120,Peak-Flow Statistics
10769,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,274,Flood-Volume Statistics
10769,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,137,Flood-Volume Statistics
10769,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,379,Flood-Volume Statistics
10769,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,2.2,Low-Flow Statistics
10769,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,2.91,Low-Flow Statistics
10769,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,3,Low-Flow Statistics
10769,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,71.1,Flow-Duration Statistics
10769,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,25.3,Flow-Duration Statistics
10769,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,9.43,Flow-Duration Statistics
10769,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,4.67,Flow-Duration Statistics
10769,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,2.87,Flow-Duration Statistics
10769,Mean Annual Flow,QA,Mean Annual Flow,34,Annual Flow Statistics
10769,April Mean Flow,Q4,Mean April Flow,27.7,Monthly Flow Statistics
10769,August Mean Flow,Q8,Mean August Flow,20.1,Monthly Flow Statistics
10769,December Mean Flow,Q12,Mean December Flow,7.62,Monthly Flow Statistics
10769,February Mean Flow,Q2,Mean February Flow,6.82,Monthly Flow Statistics
10769,January Mean Flow,Q1,Mean January Flow,6.45,Monthly Flow Statistics
10769,July Mean Flow,Q7,Mean July Flow,41.2,Monthly Flow Statistics
10769,June Mean Flow,Q6,Mean June Flow,94.8,Monthly Flow Statistics
10769,March Mean Flow,Q3,Mean March Flow,9,Monthly Flow Statistics
10769,May Mean Flow,Q5,Mean May Flow,75,Monthly Flow Statistics
10769,November Mean Flow,Q11,Mean November Flow,10.2,Monthly Flow Statistics
10769,October Mean Flow,Q10,Mean October Flow,12.7,Monthly Flow Statistics
10769,September Mean Flow,Q9,Mean September Flow,10.6,Monthly Flow Statistics
10770A,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,1550,Peak-Flow Statistics
10770A,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,3150,Peak-Flow Statistics
10770A,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,669,Peak-Flow Statistics
10770A,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,3520,Peak-Flow Statistics
10770A,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,2190,Peak-Flow Statistics
10770A,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,1150,Peak-Flow Statistics
10770A,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,2620,Peak-Flow Statistics
10770A,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,4540,Peak-Flow Statistics
10770A,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,914,Flood-Volume Statistics
10770A,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,491,Flood-Volume Statistics
10770A,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,1200,Flood-Volume Statistics
10770A,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,7.23,Low-Flow Statistics
10770A,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,12,Low-Flow Statistics
10770A,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,5.04,Low-Flow Statistics
10770A,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,265,Flow-Duration Statistics
10770A,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,92,Flow-Duration Statistics
10770A,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,33.5,Flow-Duration Statistics
10770A,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,17.4,Flow-Duration Statistics
10770A,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,10.5,Flow-Duration Statistics
10770A,Mean Annual Flow,QA,Mean Annual Flow,110,Annual Flow Statistics
10770A,April Mean Flow,Q4,Mean April Flow,118,Monthly Flow Statistics
10770A,August Mean Flow,Q8,Mean August Flow,67.5,Monthly Flow Statistics
10770A,December Mean Flow,Q12,Mean December Flow,24.8,Monthly Flow Statistics
10770A,February Mean Flow,Q2,Mean February Flow,24.3,Monthly Flow Statistics
10770A,January Mean Flow,Q1,Mean January Flow,22.4,Monthly Flow Statistics
10770A,July Mean Flow,Q7,Mean July Flow,133,Monthly Flow Statistics
10770A,June Mean Flow,Q6,Mean June Flow,366,Monthly Flow Statistics
10770A,March Mean Flow,Q3,Mean March Flow,32.9,Monthly Flow Statistics
10770A,May Mean Flow,Q5,Mean May Flow,276,Monthly Flow Statistics
10770A,November Mean Flow,Q11,Mean November Flow,33.1,Monthly Flow Statistics
10770A,October Mean Flow,Q10,Mean October Flow,46.4,Monthly Flow Statistics
10770A,September Mean Flow,Q9,Mean September Flow,37.2,Monthly Flow Statistics
10814,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,785,Peak-Flow Statistics
10814,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,1630,Peak-Flow Statistics
10814,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,327,Peak-Flow Statistics
10814,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,1840,Peak-Flow Statistics
10814,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,1120,Peak-Flow Statistics
10814,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,577,Peak-Flow Statistics
10814,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,1350,Peak-Flow Statistics
10814,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,2370,Peak-Flow Statistics
10814,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,452,Flood-Volume Statistics
10814,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,249,Flood-Volume Statistics
10814,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,587,Flood-Volume Statistics
10814,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,4.59,Low-Flow Statistics
10814,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,6.91,Low-Flow Statistics
10814,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,6.21,Low-Flow Statistics
10814,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,142,Flow-Duration Statistics
10814,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,48,Flow-Duration Statistics
10814,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,16.9,Flow-Duration Statistics
10814,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,8.85,Flow-Duration Statistics
10814,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,6,Flow-Duration Statistics
10814,Mean Annual Flow,QA,Mean Annual Flow,59.9,Annual Flow Statistics
10814,April Mean Flow,Q4,Mean April Flow,51.7,Monthly Flow Statistics
10814,August Mean Flow,Q8,Mean August Flow,35.4,Monthly Flow Statistics
10814,December Mean Flow,Q12,Mean December Flow,12.5,Monthly Flow Statistics
10814,February Mean Flow,Q2,Mean February Flow,11,Monthly Flow Statistics
10814,January Mean Flow,Q1,Mean January Flow,10.6,Monthly Flow Statistics
10814,July Mean Flow,Q7,Mean July Flow,78.7,Monthly Flow Statistics
10814,June Mean Flow,Q6,Mean June Flow,204,Monthly Flow Statistics
10814,March Mean Flow,Q3,Mean March Flow,14.4,Monthly Flow Statistics
10814,May Mean Flow,Q5,Mean May Flow,147,Monthly Flow Statistics
10814,November Mean Flow,Q11,Mean November Flow,17.5,Monthly Flow Statistics
10814,October Mean Flow,Q10,Mean October Flow,22.6,Monthly Flow Statistics
10814,September Mean Flow,Q9,Mean September Flow,26.4,Monthly Flow Statistics
10815,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,718,Peak-Flow Statistics
10815,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,1490,Peak-Flow Statistics
10815,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,298,Peak-Flow Statistics
10815,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,1690,Peak-Flow Statistics
10815,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,1020,Peak-Flow Statistics
10815,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,527,Peak-Flow Statistics
10815,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,1240,Peak-Flow Statistics
10815,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,2180,Peak-Flow Statistics
10815,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,417,Flood-Volume Statistics
10815,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,231,Flood-Volume Statistics
10815,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,540,Flood-Volume Statistics
10815,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,4.29,Low-Flow Statistics
10815,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,6.35,Low-Flow Statistics
10815,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,6.2,Low-Flow Statistics
10815,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,134,Flow-Duration Statistics
10815,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,44.8,Flow-Duration Statistics
10815,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,15.7,Flow-Duration Statistics
10815,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,8.24,Flow-Duration Statistics
10815,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,5.69,Flow-Duration Statistics
10815,Mean Annual Flow,QA,Mean Annual Flow,56.1,Annual Flow Statistics
10815,April Mean Flow,Q4,Mean April Flow,47.1,Monthly Flow Statistics
10815,August Mean Flow,Q8,Mean August Flow,33,Monthly Flow Statistics
10815,December Mean Flow,Q12,Mean December Flow,11.6,Monthly Flow Statistics
10815,February Mean Flow,Q2,Mean February Flow,9.99,Monthly Flow Statistics
10815,January Mean Flow,Q1,Mean January Flow,9.75,Monthly Flow Statistics
10815,July Mean Flow,Q7,Mean July Flow,74.8,Monthly Flow Statistics
10815,June Mean Flow,Q6,Mean June Flow,194,Monthly Flow Statistics
10815,March Mean Flow,Q3,Mean March Flow,13.1,Monthly Flow Statistics
10815,May Mean Flow,Q5,Mean May Flow,138,Monthly Flow Statistics
10815,November Mean Flow,Q11,Mean November Flow,16.4,Monthly Flow Statistics
10815,October Mean Flow,Q10,Mean October Flow,20.8,Monthly Flow Statistics
10815,September Mean Flow,Q9,Mean September Flow,25.9,Monthly Flow Statistics
10818,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,179,Peak-Flow Statistics
10818,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,391,Peak-Flow Statistics
10818,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,69.5,Peak-Flow Statistics
10818,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,453,Peak-Flow Statistics
10818,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,262,Peak-Flow Statistics
10818,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,129,Peak-Flow Statistics
10818,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,325,Peak-Flow Statistics
10818,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,583,Peak-Flow Statistics
10818,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,62.6,Flood-Volume Statistics
10818,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,32.1,Flood-Volume Statistics
10818,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,85.5,Flood-Volume Statistics
10818,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,0.676,Low-Flow Statistics
10818,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,0.691,Low-Flow Statistics
10818,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,3.05,Low-Flow Statistics
10818,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,18.5,Flow-Duration Statistics
10818,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,6.25,Flow-Duration Statistics
10818,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,2.21,Flow-Duration Statistics
10818,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,1.09,Flow-Duration Statistics
10818,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,0.825,Flow-Duration Statistics
10818,Mean Annual Flow,QA,Mean Annual Flow,9.24,Annual Flow Statistics
10818,April Mean Flow,Q4,Mean April Flow,4.87,Monthly Flow Statistics
10818,August Mean Flow,Q8,Mean August Flow,5.07,Monthly Flow Statistics
10818,December Mean Flow,Q12,Mean December Flow,1.82,Monthly Flow Statistics
10818,February Mean Flow,Q2,Mean February Flow,1.31,Monthly Flow Statistics
10818,January Mean Flow,Q1,Mean January Flow,1.36,Monthly Flow Statistics
10818,July Mean Flow,Q7,Mean July Flow,13,Monthly Flow Statistics
10818,June Mean Flow,Q6,Mean June Flow,26.1,Monthly Flow Statistics
10818,March Mean Flow,Q3,Mean March Flow,1.63,Monthly Flow Statistics
10818,May Mean Flow,Q5,Mean May Flow,19.2,Monthly Flow Statistics
10818,November Mean Flow,Q11,Mean November Flow,2.65,Monthly Flow Statistics
10818,October Mean Flow,Q10,Mean October Flow,2.77,Monthly Flow Statistics
10818,September Mean Flow,Q9,Mean September Flow,4.53,Monthly Flow Statistics
120,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,1200,Peak-Flow Statistics
120,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,1880,Peak-Flow Statistics
120,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,674,Peak-Flow Statistics
120,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,2080,Peak-Flow Statistics
120,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,1370,Peak-Flow Statistics
120,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,971,Peak-Flow Statistics
120,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,1650,Peak-Flow Statistics
120,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,2360,Peak-Flow Statistics
120,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,1020,Flood-Volume Statistics
120,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,558,Flood-Volume Statistics
120,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,1440,Flood-Volume Statistics
120,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,4.32,Low-Flow Statistics
120,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,8.9,Low-Flow Statistics
120,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,6.11,Low-Flow Statistics
120,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,281,Flow-Duration Statistics
120,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,93.6,Flow-Duration Statistics
120,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,38.9,Flow-Duration Statistics
120,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,23.6,Flow-Duration Statistics
120,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,17,Flow-Duration Statistics
120,Mean Annual Flow,QA,Mean Annual Flow,112,Annual Flow Statistics
120,April Mean Flow,Q4,Mean April Flow,79.4,Monthly Flow Statistics
120,August Mean Flow,Q8,Mean August Flow,69,Monthly Flow Statistics
120,December Mean Flow,Q12,Mean December Flow,29.3,Monthly Flow Statistics
120,February Mean Flow,Q2,Mean February Flow,25.7,Monthly Flow Statistics
120,January Mean Flow,Q1,Mean January Flow,27.3,Monthly Flow Statistics
120,July Mean Flow,Q7,Mean July Flow,155,Monthly Flow Statistics
120,June Mean Flow,Q6,Mean June Flow,468,Monthly Flow Statistics
120,March Mean Flow,Q3,Mean March Flow,31.2,Monthly Flow Statistics
120,May Mean Flow,Q5,Mean May Flow,332,Monthly Flow Statistics
120,November Mean Flow,Q11,Mean November Flow,34.9,Monthly Flow Statistics
120,October Mean Flow,Q10,Mean October Flow,44.4,Monthly Flow Statistics
120,September Mean Flow,Q9,Mean September Flow,50.1,Monthly Flow Statistics
12554A,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,945,Peak-Flow Statistics
12554A,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,1420,Peak-Flow Statistics
12554A,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,578,Peak-Flow Statistics
12554A,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,1530,Peak-Flow Statistics
12554A,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,1090,Peak-Flow Statistics
12554A,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,798,Peak-Flow Statistics
12554A,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,1290,Peak-Flow Statistics
12554A,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,1750,Peak-Flow Statistics
12554A,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,663,Flood-Volume Statistics
12554A,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,391,Flood-Volume Statistics
12554A,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,901,Flood-Volume Statistics
12554A,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,5.55,Low-Flow Statistics
12554A,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,8.67,Low-Flow Statistics
12554A,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,4.78,Low-Flow Statistics
12554A,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,190,Flow-Duration Statistics
12554A,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,56.6,Flow-Duration Statistics
12554A,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,21.5,Flow-Duration Statistics
